group,groupname,abb,team,value,
1,Points,GSW,Golden State Warriors*,30,
1,Points,OKC,Oklahoma City Thunder*,29,
1,Points,SAC,Sacramento Kings,28,
1,Points,HOU,Houston Rockets*,27,
1,Points,BOS,Boston Celtics*,26,
1,Points,POR,Portland Trail Blazers*,25,
1,Points,LAC,Los Angeles Clippers*,24,
1,Points,CLE,Cleveland Cavaliers*,23,
1,Points,WSH,Washington Wizards,22,
1,Points,SAS,San Antonio Spurs*,21,
1,Points,CHA,Charlotte Hornets*,20,
1,Points,ATL,Atlanta Hawks*,19,
1,Points,NOP,New Orleans Pelicans,18,
1,Points,TOR,Toronto Raptors*,17,
1,Points,MIN,Minnesota Timberwolves,16,
1,Points,DAL,Dallas Mavericks*,15,
1,Points,IND,Indiana Pacers*,14,
1,Points,ORL,Orlando Magic,13,
1,Points,DET,Detroit Pistons*,12,
1,Points,DEN,Denver Nuggets,11,
1,Points,CHI,Chicago Bulls,10,
1,Points,PHX,Phoenix Suns,9,
1,Points,MIA,Miami Heat*,8,
1,Points,MEM,Memphis Grizzlies*,7,
1,Points,MIL,Milwaukee Bucks,6,
1,Points,BKN,Brooklyn Nets,5,
1,Points,NYK,New York Knicks,4,
1,Points,UTH,Utah Jazz,3,
1,Points,PHI,Philadelphia 76ers,2,
1,Points,LAL,Los Angeles Lakers,1,
2,Assists,GSW,Golden State Warriors*,30,
2,Assists,OKC,Oklahoma City Thunder*,21,
2,Assists,SAC,Sacramento Kings,27,
2,Assists,HOU,Houston Rockets*,15,
2,Assists,BOS,Boston Celtics*,25,
2,Assists,POR,Portland Trail Blazers*,10,
2,Assists,LAC,Los Angeles Clippers*,20,
2,Assists,CLE,Cleveland Cavaliers*,18,
2,Assists,WSH,Washington Wizards,26,
2,Assists,SAS,San Antonio Spurs*,28,
2,Assists,CHA,Charlotte Hornets*,12,
2,Assists,ATL,Atlanta Hawks*,29,
2,Assists,NOP,New Orleans Pelicans,14,
2,Assists,TOR,Toronto Raptors*,2,
2,Assists,MIN,Minnesota Timberwolves,23,
2,Assists,DAL,Dallas Mavericks*,13,
2,Assists,IND,Indiana Pacers*,9,
2,Assists,ORL,Orlando Magic,24,
2,Assists,DET,Detroit Pistons*,4,
2,Assists,DEN,Denver Nuggets,17,
2,Assists,CHI,Chicago Bulls,19,
2,Assists,PHX,Phoenix Suns,7,
2,Assists,MIA,Miami Heat*,8,
2,Assists,MEM,Memphis Grizzlies*,6,
2,Assists,MIL,Milwaukee Bucks,22,
2,Assists,BKN,Brooklyn Nets,16,
2,Assists,NYK,New York Knicks,5,
2,Assists,UTH,Utah Jazz,3,
2,Assists,PHI,Philadelphia 76ers,11,
2,Assists,LAL,Los Angeles Lakers,1,
3,Rebounds,GSW,Golden State Warriors*,30,
3,Rebounds,OKC,Oklahoma City Thunder*,29,
3,Rebounds,SAC,Sacramento Kings,17,
3,Rebounds,HOU,Houston Rockets*,4,
3,Rebounds,BOS,Boston Celtics*,16,
3,Rebounds,POR,Portland Trail Blazers*,23,
3,Rebounds,LAC,Los Angeles Clippers*,14,
3,Rebounds,CLE,Cleveland Cavaliers*,20,
3,Rebounds,WSH,Washington Wizards,9,
3,Rebounds,SAS,San Antonio Spurs*,26,
3,Rebounds,CHA,Charlotte Hornets*,27,
3,Rebounds,ATL,Atlanta Hawks*,18,
3,Rebounds,NOP,New Orleans Pelicans,11,
3,Rebounds,TOR,Toronto Raptors*,13,
3,Rebounds,MIN,Minnesota Timberwolves,3,
3,Rebounds,DAL,Dallas Mavericks*,22,
3,Rebounds,IND,Indiana Pacers*,21,
3,Rebounds,ORL,Orlando Magic,10,
3,Rebounds,DET,Detroit Pistons*,19,
3,Rebounds,DEN,Denver Nuggets,12,
3,Rebounds,CHI,Chicago Bulls,28,
3,Rebounds,PHX,Phoenix Suns,15,
3,Rebounds,MIA,Miami Heat*,25,
3,Rebounds,MEM,Memphis Grizzlies*,1,
3,Rebounds,MIL,Milwaukee Bucks,2,
3,Rebounds,BKN,Brooklyn Nets,6,
3,Rebounds,NYK,New York Knicks,24,
3,Rebounds,UTH,Utah Jazz,8,
3,Rebounds,PHI,Philadelphia 76ers,5,
3,Rebounds,LAL,Los Angeles Lakers,7,
4,Turnovers,GSW,Golden State Warriors*,24,
