TeamName,W,L,W/L%,GB,PS/G,PA/G,SRS,abb,num
Golden State Warriors* (1) ,73,9,0.89,—,114.9,104.1,10.38,GSW, 1
San Antonio Spurs* (2) ,67,15,0.817,6,103.5,92.9,10.28,SAS, 2
Oklahoma City Thunder* (3) ,55,27,0.671,18,110.2,102.9,7.09,OKC, 3
Los Angeles Clippers* (4) ,53,29,0.646,20,104.5,100.2,4.13,LAC, 4
Portland Trail Blazers* (5) ,44,38,0.537,29,105.1,104.3,0.98,POR, 5
Dallas Mavericks* (6) ,42,40,0.512,31,102.3,102.6,-0.02,DAL, 6
Memphis Grizzlies* (7) ,42,40,0.512,31,99.1,101.3,-2.14,MEM, 7
Houston Rockets* (8) ,41,41,0.5,32,106.5,106.4,0.34,HOU, 8
Utah Jazz (9) ,40,42,0.488,33,97.7,95.9,1.84,UTH, 9
Sacramento Kings (10) ,33,49,0.402,40,106.6,109.1,-2.32,SAC, 10
Denver Nuggets (10) ,33,49,0.402,40,101.9,105,-2.81,DEN, 11
New Orleans Pelicans (12) ,30,52,0.366,43,102.7,106.5,-3.56,NOP, 12
Minnesota Timberwolves (13) ,29,53,0.354,44,102.4,106,-3.38,MIN, 13
Phoenix Suns (14) ,23,59,0.28,50,100.9,107.5,-6.32,PHX, 14
Los Angeles Lakers (15) ,17,65,0.207,56,97.3,106.9,-8.9,LAL, 15
Cleveland Cavaliers* (16) ,57,25,0.695,—,104.3,98.3,5.45,CLE, 16
Toronto Raptors* (17) ,56,26,0.683,1,102.7,98.2,4.08,TOR, 17
Miami Heat* (18) ,48,34,0.585,9,100,98.4,1.5,MIA, 18
Atlanta Hawks* (19) ,48,34,0.585,9,102.8,99.2,3.49,ATL, 19
Boston Celtics* (20) ,48,34,0.585,9,105.7,102.5,2.84,BOS, 20
Charlotte Hornets* (21) ,48,34,0.585,9,103.4,100.7,2.36,CHA, 21
Indiana Pacers* (22) ,45,37,0.549,12,102.2,100.5,1.62,IND, 22
Detroit Pistons* (23) ,44,38,0.537,13,102,101.4,0.43,DET, 23
Chicago Bulls (24) ,42,40,0.512,15,101.6,103.1,-1.46,CHI, 24
Washington Wizards (25) ,41,41,0.5,16,104.1,104.6,-0.5,WSH, 25
Orlando Magic (26) ,35,47,0.427,22,102.1,103.7,-1.68,ORL, 26
Milwaukee Bucks (27) ,33,49,0.402,24,99,103.2,-3.98,MIL, 27
New York Knicks (28) ,32,50,0.39,25,98.4,101.1,-2.74,NYK, 28
Brooklyn Nets (29) ,21,61,0.256,36,98.6,106,-7.12,BKN, 29
Philadelphia 76ers (30) ,10,72,0.122,47,97.4,107.6,-9.92,PHI, 30
